"SkillDir","RefFile","RefPath","RefSize","RefDesc","Status","SelfRef","PromptRef","PromptFiles","SiblingRef","SiblingFiles","CommonRef","CommonFiles","IsStale","MissingRefsSec"
"CommonSkills\通用-多平台小说适配","平台风格总则与撞车修复.md","CommonSkills\通用-多平台小说适配\references\平台风格总则与撞车修复.md","2763","平台风格总则与撞车修复","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
"CommonSkills\通用-多平台小说适配","平台节奏与付费机制补充.md","CommonSkills\通用-多平台小说适配\references\平台节奏与付费机制补充.md","3403","平台节奏与付费机制补充","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
"CommonSkills\通用-多平台小说适配","平台情绪直给度对照表.md","CommonSkills\通用-多平台小说适配\references\平台情绪直给度对照表.md","4026","平台情绪直给度对照表","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
"CommonSkills\通用-多平台小说适配","平台POV基线表_模板.md","CommonSkills\通用-多平台小说适配\references\平台POV基线表_模板.md","11368","平台 POV 基线表（生成指引与模板）","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
"CommonSkills\通用-多平台小说适配","人称视角双向转换适配卡.md","CommonSkills\通用-多平台小说适配\references\人称视角双向转换适配卡.md","5494","人称视角双向转换适配卡","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
"CommonSkills\通用-分析竞对作品","榜单检索与样本池确定规则.md","CommonSkills\通用-分析竞对作品\references\榜单检索与样本池确定规则.md","12536","榜单检索与样本池确定规则","ok","True","False","","False","","True","通用-分析竞对作品","False","False"
"CommonSkills\通用-分析竞对作品","范文对标的定量与定性分析方法.md","CommonSkills\通用-分析竞对作品\references\范文对标的定量与定性分析方法.md","20769","范文对标的定量与定性分析方法（四层竞对拆解版）","ok","True","False","","False","","True","通用-分析竞对作品","False","False"
"CommonSkills\通用-分析竞对作品","竞对分析报告模板.md","CommonSkills\通用-分析竞对作品\references\竞对分析报告模板.md","11867","竞对分析报告模板","ok","True","False","","False","","True","通用-分析竞对作品","False","False"
"CommonSkills\通用-分析竞对作品","竞对分析执行清单.md","CommonSkills\通用-分析竞对作品\references\竞对分析执行清单.md","7770","竞对分析执行清单","ok","True","False","","False","","True","通用-分析竞对作品","False","False"
"CommonSkills\通用-分析竞对作品","竞对分析总览模板.md","CommonSkills\通用-分析竞对作品\references\竞对分析总览模板.md","9036","竞对分析总览模板","ok","True","False","","False","","True","通用-分析竞对作品","False","False"
"CommonSkills\通用-分析竞对作品","GEO竞对分析增补.md","CommonSkills\通用-分析竞对作品\references\GEO竞对分析增补.md","3128","竞对分析的 GEO 维度增补","ok","True","False","","False","","True","通用-分析竞对作品","False","False"
"CommonSkills\通用-管理连续性冷热线","动态状态模板.md","CommonSkills\通用-管理连续性冷热线\references\动态状态模板.md","2032","动态状态模板","ok","True","False","","False","","True","通用-管理连续性冷热线","False","True"
"CommonSkills\通用-管理连续性冷热线","归档更新_决策日志_进度追踪补编.md","CommonSkills\通用-管理连续性冷热线\references\归档更新_决策日志_进度追踪补编.md","9342","归档更新_决策日志_进度追踪补编","ok","True","False","","False","","True","通用-管理连续性冷热线","False","True"
"CommonSkills\通用-管理连续性冷热线","合理休眠说明模板.md","CommonSkills\通用-管理连续性冷热线\references\合理休眠说明模板.md","292","合理休眠说明模板","ok","True","False","","False","","True","通用-管理连续性冷热线","False","True"
"CommonSkills\通用-管理连续性冷热线","冷线复查与回归决策表.md","CommonSkills\通用-管理连续性冷热线\references\冷线复查与回归决策表.md","2516","冷线复查与回归决策表","ok","True","False","","False","","True","通用-管理连续性冷热线","False","True"
"CommonSkills\通用-管理连续性冷热线","连续性与冷热线保真规则.md","CommonSkills\通用-管理连续性冷热线\references\连续性与冷热线保真规则.md","4971","连续性与冷热线保真规则","ok","True","False","","False","","True","通用-管理连续性冷热线","False","True"
"CommonSkills\通用-管理连续性冷热线","章节链路热度与回写层级表.md","CommonSkills\通用-管理连续性冷热线\references\章节链路热度与回写层级表.md","4719","章节链路热度与回写层级表","ok","True","False","","False","","True","通用-管理连续性冷热线","False","True"
"CommonSkills\通用-平台签约评估框架","大纲收入公式评估诊断.md","CommonSkills\通用-平台签约评估框架\references\大纲收入公式评估诊断.md","2087","大纲收入公式评估诊断","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","短剧改编适配度快速评估.md","CommonSkills\通用-平台签约评估框架\references\短剧改编适配度快速评估.md","3619","短剧改编适配度快速评估","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","番茄默认审核流程与硬门槛.md","CommonSkills\通用-平台签约评估框架\references\番茄默认审核流程与硬门槛.md","2695","番茄默认审核流程与硬门槛","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","概率分段与一票否决规则.md","CommonSkills\通用-平台签约评估框架\references\概率分段与一票否决规则.md","9548","概率分段与一票否决规则","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","晋江默认审核流程与硬门槛.md","CommonSkills\通用-平台签约评估框架\references\晋江默认审核流程与硬门槛.md","2644","晋江默认审核流程与硬门槛","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","平台错位诊断卡.md","CommonSkills\通用-平台签约评估框架\references\平台错位诊断卡.md","3314","平台错位诊断卡","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","平台签约评估报告模板.md","CommonSkills\通用-平台签约评估框架\references\平台签约评估报告模板.md","19476","平台签约评估报告模板","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","平台签约评估维度与权重.md","CommonSkills\通用-平台签约评估框架\references\平台签约评估维度与权重.md","24713","平台签约评估维度与权重","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","评估模式与落盘规则.md","CommonSkills\通用-平台签约评估框架\references\评估模式与落盘规则.md","15324","评估模式与落盘规则","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","七猫默认审核流程与硬门槛.md","CommonSkills\通用-平台签约评估框架\references\七猫默认审核流程与硬门槛.md","2675","七猫默认审核流程与硬门槛","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","起点默认审核流程与硬门槛.md","CommonSkills\通用-平台签约评估框架\references\起点默认审核流程与硬门槛.md","8709","起点默认审核流程与硬门槛","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","起点数据指标与爆款分层标准.md","CommonSkills\通用-平台签约评估框架\references\起点数据指标与爆款分层标准.md","5354","起点数据指标与爆款分层标准","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","套路赛道饱和度评估.md","CommonSkills\通用-平台签约评估框架\references\套路赛道饱和度评估.md","2304","套路赛道饱和度评估","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","腾讯专栏签约评估快审卡点与投稿成熟度增补.md","CommonSkills\通用-平台签约评估框架\references\腾讯专栏签约评估快审卡点与投稿成熟度增补.md","2254","腾讯专栏：签约评估快审卡点与投稿成熟度增补","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","投稿成熟度审阅清单.md","CommonSkills\通用-平台签约评估框架\references\投稿成熟度审阅清单.md","1795","投稿成熟度审阅清单","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","研究回灌补强.md","CommonSkills\通用-平台签约评估框架\references\研究回灌补强.md","331","研究回灌补强","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-平台签约评估框架","蒸馏产物对标签约评估.md","CommonSkills\通用-平台签约评估框架\references\蒸馏产物对标签约评估.md","13177","蒸馏产物对标签约评估","ok","True","False","","False","","True","通用-平台签约评估框架","False","False"
"CommonSkills\通用-强化章节开头","反常开场十机制速查.md","CommonSkills\通用-强化章节开头\references\反常开场十机制速查.md","4846","反常开场十一机制速查","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","钩子类型分类与样本库.md","CommonSkills\通用-强化章节开头\references\钩子类型分类与样本库.md","2469","钩子类型分类与样本库","ok","True","False","","False","","True","通用-强化章节开头;通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章节开头","滑梯效应与首段安抚.md","CommonSkills\通用-强化章节开头\references\滑梯效应与首段安抚.md","2332","滑梯效应与首段安抚","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","黄金三章与五类开篇钩子.md","CommonSkills\通用-强化章节开头\references\黄金三章与五类开篇钩子.md","3427","黄金三章与五类开篇钩子","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","开篇四步框架.md","CommonSkills\通用-强化章节开头\references\开篇四步框架.md","2910","开篇四步框架","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","七猫专栏章首前200字强化增补.md","CommonSkills\通用-强化章节开头\references\七猫专栏章首前200字强化增补.md","4518","七猫专栏：章首前200字直接入冲突增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏爆款文切入点与框架增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏爆款文切入点与框架增补.md","3437","腾讯专栏爆款文切入点与框架增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏畅销书开篇四类型框架增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏畅销书开篇四类型框架增补.md","2515","腾讯专栏：畅销书开篇四类型框架增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏多作家开头设计步骤与低阅读难度共识增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏多作家开头设计步骤与低阅读难度共识增补.md","2876","腾讯专栏：多位作家开头设计步骤与低阅读难度共识增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏黄金三章多维共识增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏黄金三章多维共识增补.md","2526","腾讯专栏黄金三章多维共识增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏黄金三章三要点多作者共识增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏黄金三章三要点多作者共识增补.md","3747","腾讯专栏：黄金三章三要点多作者共识增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏开篇设定引入禁忌与主角视角增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏开篇设定引入禁忌与主角视角增补.md","2431","腾讯专栏：开篇设定引入禁忌与主角视角增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏开篇以情节为核心增补.md","CommonSkills\通用-强化章节开头\references\腾讯专栏开篇以情节为核心增补.md","1880","腾讯专栏开篇以情节为核心增补","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","腾讯专栏章首抓力增补规则.md","CommonSkills\通用-强化章节开头\references\腾讯专栏章首抓力增补规则.md","2222","腾讯专栏章首抓力增补规则（2026-05-03）","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","章节开头检查清单.md","CommonSkills\通用-强化章节开头\references\章节开头检查清单.md","3953","章节开头检查清单","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","章节开头强化规则.md","CommonSkills\通用-强化章节开头\references\章节开头强化规则.md","6771","章节开头强化规则","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","章首补丁回写控制卡与场景职责表.md","CommonSkills\通用-强化章节开头\references\章首补丁回写控制卡与场景职责表.md","4260","章首补丁回写控制卡与场景职责表","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章节开头","章首直接入冲突增补.md","CommonSkills\通用-强化章节开头\references\章首直接入冲突增补.md","4575","章首直接入冲突增补（跨平台通用）","ok","True","False","","False","","True","通用-强化章节开头","False","False"
"CommonSkills\通用-强化章末钩子","断章三式与章末钩子技法.md","CommonSkills\通用-强化章末钩子\references\断章三式与章末钩子技法.md","3272","断章三式与章末钩子技法","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","七猫专栏章末钩子升级增补.md","CommonSkills\通用-强化章末钩子\references\七猫专栏章末钩子升级增补.md","4802","七猫专栏：章末钩子类型升级增补","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","腾讯专栏卡章引催更与段评互动增补.md","CommonSkills\通用-强化章末钩子\references\腾讯专栏卡章引催更与段评互动增补.md","2261","腾讯专栏：章末卡章引催更技巧增补","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","腾讯专栏章末卡章方法增补.md","CommonSkills\通用-强化章末钩子\references\腾讯专栏章末卡章方法增补.md","2074","腾讯专栏章末卡章方法增补（2026-05-04）","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","章末补丁回写控制卡与场景职责表.md","CommonSkills\通用-强化章末钩子\references\章末补丁回写控制卡与场景职责表.md","4242","章末补丁回写控制卡与场景职责表","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","章末钩子检查清单.md","CommonSkills\通用-强化章末钩子\references\章末钩子检查清单.md","3621","章末钩子检查清单","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","章末钩子强度升级增补.md","CommonSkills\通用-强化章末钩子\references\章末钩子强度升级增补.md","4862","章末钩子强度升级增补（跨平台通用）","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-强化章末钩子","章末钩子强化规则.md","CommonSkills\通用-强化章末钩子\references\章末钩子强化规则.md","4840","章末钩子强化规则","ok","True","False","","False","","True","通用-强化章末钩子","False","False"
"CommonSkills\通用-去AI味重写","风格注入锚点卡.md","CommonSkills\通用-去AI味重写\references\风格注入锚点卡.md","6617","风格注入锚点卡","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","科幻类AI味典型问题.md","CommonSkills\通用-去AI味重写\references\科幻类AI味典型问题.md","4104","科幻小说AI味典型问题与修正策略","dead","False","False","","False","","False","","False","False"
"CommonSkills\通用-去AI味重写","七猫专栏OS叙事拐杖检测增补.md","CommonSkills\通用-去AI味重写\references\七猫专栏OS叙事拐杖检测增补.md","4018","七猫专栏：OS叙事拐杖检测与去AI味增补","dead","False","False","","False","","False","","False","False"
"CommonSkills\通用-去AI味重写","去雕琢腔与透明人声校准卡.md","CommonSkills\通用-去AI味重写\references\去雕琢腔与透明人声校准卡.md","3359","去雕琢腔与透明人声校准卡","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味多轮诊断与回写模板.md","CommonSkills\通用-去AI味重写\references\去AI味多轮诊断与回写模板.md","3351","去AI味多轮诊断与回写模板","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味风格与排版补充.md","CommonSkills\通用-去AI味重写\references\去AI味风格与排版补充.md","1796","去AI味风格与排版补充","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味共享裁判规则补编.md","CommonSkills\通用-去AI味重写\references\去AI味共享裁判规则补编.md","14648","去AI味共享裁判规则补编","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味红线保护.md","CommonSkills\通用-去AI味重写\references\去AI味红线保护.md","647","去AI味红线保护","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味后供血与职责复检卡.md","CommonSkills\通用-去AI味重写\references\去AI味后供血与职责复检卡.md","3999","去AI味后供血与职责复检卡","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味句级改写工具.md","CommonSkills\通用-去AI味重写\references\去AI味句级改写工具.md","1301","去AI味句级改写工具","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味三档手术强度与风险卡.md","CommonSkills\通用-去AI味重写\references\去AI味三档手术强度与风险卡.md","2546","去AI味三档手术强度与风险卡","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味三级改造与工具包.md","CommonSkills\通用-去AI味重写\references\去AI味三级改造与工具包.md","6285","去AI味三级改造与工具包","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味识别雷达.md","CommonSkills\通用-去AI味重写\references\去AI味识别雷达.md","12402","去AI味识别雷达","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味四维病灶与45条规则.md","CommonSkills\通用-去AI味重写\references\去AI味四维病灶与45条规则.md","5394","去AI味四维病灶与45条规则","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","去AI味执行清单.md","CommonSkills\通用-去AI味重写\references\去AI味执行清单.md","4608","去AI味执行清单","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","实战对比案例——从AI稿与人工稿的差异提取可复用诊断与拆洗规则.md","CommonSkills\通用-去AI味重写\references\实战对比案例——从AI稿与人工稿的差异提取可复用诊断与拆洗规则.md","43697","实战对比案例——从AI稿与人工稿的差异提取可复用诊断与拆洗规则","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","视角塌陷与五感替代诊断修复卡.md","CommonSkills\通用-去AI味重写\references\视角塌陷与五感替代诊断修复卡.md","8994","视角塌陷诊断与五感替代修复卡","ok","True","False","","False","","True","通用-创建小说正文;通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","腾讯专栏直白与氛围保持增补.md","CommonSkills\通用-去AI味重写\references\腾讯专栏直白与氛围保持增补.md","2486","腾讯专栏：直白原则与氛围保持规则增补","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","AI句式替换与动作化替代清单.md","CommonSkills\通用-去AI味重写\references\AI句式替换与动作化替代清单.md","4321","AI句式替换与动作化替代清单","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","AI味高发信号与拆洗策略补充.md","CommonSkills\通用-去AI味重写\references\AI味高发信号与拆洗策略补充.md","4352","AI 味高发信号与拆洗策略补充","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-去AI味重写","OS叙事拐杖检测增补.md","CommonSkills\通用-去AI味重写\references\OS叙事拐杖检测增补.md","4067","OS叙事拐杖检测增补（跨平台通用）","ok","True","False","","False","","True","通用-去AI味重写","False","False"
"CommonSkills\通用-润色作者有话说","腾讯专栏作者有话说互动固粉增补.md","CommonSkills\通用-润色作者有话说\references\腾讯专栏作者有话说互动固粉增补.md","3393","腾讯专栏：作者有话说互动固粉增补","ok","True","False","","False","","True","通用-润色作者有话说","False","True"
"CommonSkills\通用-润色作者有话说","作者有话说读者向规则.md","CommonSkills\通用-润色作者有话说\references\作者有话说读者向规则.md","5405","作者有话说读者向规则","ok","True","False","","False","","True","通用-润色作者有话说","False","True"
"CommonSkills\通用-润色作者有话说","作者有话说检查清单.md","CommonSkills\通用-润色作者有话说\references\作者有话说检查清单.md","2592","作者有话说检查清单","ok","True","False","","False","","True","通用-润色作者有话说","False","True"
"CommonSkills\通用-设计标题","点击吸引点与书名边界.md","CommonSkills\通用-设计标题\references\点击吸引点与书名边界.md","1909","点击吸引点与书名边界","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","候选书名文件模板.md","CommonSkills\通用-设计标题\references\候选书名文件模板.md","10972","候选书名文件模板","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","平台书名策略矩阵.md","CommonSkills\通用-设计标题\references\平台书名策略矩阵.md","6408","平台书名策略矩阵","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","书名交付与写回规则.md","CommonSkills\通用-设计标题\references\书名交付与写回规则.md","4171","书名交付与写回规则","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","书名评分与排序规则.md","CommonSkills\通用-设计标题\references\书名评分与排序规则.md","6785","书名评分与排序规则","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","书名设计流程与评估维度.md","CommonSkills\通用-设计标题\references\书名设计流程与评估维度.md","4292","书名设计流程与评估维度","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","书名吸量公式与词汇库.md","CommonSkills\通用-设计标题\references\书名吸量公式与词汇库.md","2646","书名吸量公式与固定词汇库","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","腾讯专栏女频书名热词亮点方法增补.md","CommonSkills\通用-设计标题\references\腾讯专栏女频书名热词亮点方法增补.md","2460","腾讯专栏：女频书名热词亮点方法增补","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","腾讯专栏签约冲刺书名站点差异增补.md","CommonSkills\通用-设计标题\references\腾讯专栏签约冲刺书名站点差异增补.md","3132","腾讯专栏：签约冲刺书名站点差异增补","ok","True","False","","False","","True","通用-设计标题","False","False"
"CommonSkills\通用-设计标题","腾讯专栏书名包装三法增补.md","CommonSkills\通用-设计标题\references\腾讯专栏书名包装三法增补.md","2276","腾讯专栏书名包装三法增补","ok","True","False","","False","","True","通用-设计标题","False","False"
